F0; F; T; Tmin; C; nC; execTime
2332.7527;829.5675578117371;0.75;1.0E-5;0.999;10000;77.77899932861328
2332.7527;883.6772365570068;0.75;1.0E-4;0.999;10000;103.18399810791016
2332.7527;810.4910988807678;0.75;0.001;0.999;10000;86.09300231933594
2332.7527;865.5048689842224;0.75;0.01;0.999;10000;88.68399810791016
2332.7527;794.5444211959839;0.75;0.1;0.999;10000;75.22599792480469
