F0; F; T; Tmin; C; nC; execTime
1985.799;782.9017848968506;0.1;1.0E-4;0.999;10000;96.3030014038086
1985.799;829.8012347221375;0.25;1.0E-4;0.999;10000;80.73600006103516
1985.799;833.5231885910034;0.5;1.0E-4;0.999;10000;78.76000213623047
1985.799;849.5045623779297;0.75;1.0E-4;0.999;10000;78.66000366210938
1985.799;853.0943098068237;1.0;1.0E-4;0.999;10000;83.83899688720703
