F0; F; T; Tmin; C; nC; execTime
2227.3704;880.4380249977112;0.75;1.0E-4;0.999;1;86.88800048828125
2227.3704;832.1839227676392;0.75;1.0E-4;0.999;100;78.61299896240234
2227.3704;860.7451343536377;0.75;1.0E-4;0.999;1000;82.75700378417969
2227.3704;850.9684209823608;0.75;1.0E-4;0.999;10000;82.79199981689453
2227.3704;852.7837476730347;0.75;1.0E-4;0.999;100000;77.14800262451172
